frame_index,relative_seconds,frame_ms,SSS depth_ms,Lighting and transparency_ms,UI and HUD rendering_ms,Texture updates_ms,Main opaque geometry_ms,Main scene sorting_ms,Reflection update_ms,Avatar and object updates_ms,Other simulation and UI updates_ms,Other frame work_ms
0,0.0,27.986886,5.434021,6.07371,2.681553,2.061982,2.067772,1.527281,0.147818,4.295482,1.667149,2.030118
1,0.027988252,28.5526,5.75919,5.918775,2.789913,2.063974,1.983711,1.424066,0.344958,4.693418,1.426373,2.148222
2,0.056542057,28.458486,5.462516,5.593608,2.660124,2.067993,2.300945,1.825323,0.181295,4.333541,1.562012,2.471129
3,0.112702152,29.90605,6.426227,5.878126,2.728413,2.397626,2.070084,1.483334,0.247041,4.664278,1.813614,2.197307
4,0.142609739,31.527524,7.831909,5.424927,2.752711,2.062196,2.170229,1.679411,0.178824,4.741044,1.411867,3.274406
5,0.174138643,28.426254,5.625218,5.793342,3.669736,2.299297,2.011558,1.678088,0.163574,4.474444,1.354002,1.356995
6,0.202566067,28.122968,5.284836,6.096094,2.940828,2.111099,1.769849,1.471918,0.356932,4.481321,1.672191,1.9379
7,0.230690411,30.983056,5.361006,5.838045,2.651078,2.1966,1.816112,1.502779,2.586457,4.664885,2.082164,2.28393
8,0.261675231,29.640348,5.389709,6.042457,3.109078,2.198801,2.030369,1.489027,0.58396,4.717526,1.768143,2.311278
9,0.291316977,28.548453,5.036528,6.076132,3.029213,2.177673,2.091991,1.563514,0.787784,4.651253,1.719581,1.414784
10,0.319867079,30.025044,5.933915,5.659679,2.673037,2.066782,2.093017,1.756721,1.420961,4.823336,1.40409,2.193506
11,0.349893478,26.870563,5.187361,5.604114,3.008193,2.080135,1.792075,1.246488,0.326638,4.486995,1.174479,1.964085
12,0.376765509,30.785886,7.742744,5.986862,2.783295,2.181993,1.806739,1.859961,0.405429,4.415914,1.55689,2.046059
13,0.407553014,29.018174,4.599146,5.884766,2.804125,2.095956,1.799272,1.482629,2.389902,4.677569,1.051973,2.232836
14,0.436572625,30.946283,4.938782,6.586622,2.774838,2.258836,1.990715,1.934942,0.670943,5.064616,2.059217,2.666772
15,0.467520355,36.260295,9.47908,8.479359,2.874666,2.078577,1.787076,1.360335,0.578386,4.861766,1.750748,3.010302
16,0.503781997,30.450314,5.194858,5.879208,3.883984,2.070508,1.903346,1.623561,1.469668,4.383197,2.574119,1.467865
17,0.534233807,27.447299,4.509394,5.732635,2.920703,2.124717,1.813214,1.566731,0.308635,4.381588,1.809887,2.279795
18,0.561682454,28.998693,5.172041,6.332835,2.736989,2.060448,1.885481,1.982739,0.423074,4.461644,1.374028,2.569414
19,0.590682405,31.668309,6.74371,5.826794,2.793749,2.22633,1.941941,1.677496,0.380416,5.610907,1.836819,2.630147
20,0.622352211,29.754145,4.454368,5.699412,2.986462,2.148149,1.766305,1.345896,3.006169,4.901649,0.978272,2.467463
21,0.65210795,26.820553,4.772943,5.815312,2.864803,2.23628,1.799123,1.47491,1.055277,4.461003,1.091792,1.24911
22,0.678930068,29.633203,4.519172,6.02501,3.776534,2.062098,1.83815,1.6611,1.30105,4.711247,1.016553,2.722289
23,0.708564883,28.486419,5.748335,5.570703,2.970541,2.086274,1.782658,1.471244,0.294365,4.581758,1.98787,1.992671
24,0.737052526,26.838567,4.617736,5.820304,3.077886,2.10565,1.895584,1.527023,1.010928,4.201951,1.191506,1.389999
25,0.763892639,25.711691,3.406061,5.794733,2.741808,2.059065,1.859938,1.626176,0.401282,4.36451,1.632314,1.825804
26,0.789605641,30.874628,5.110618,5.984612,3.047955,2.062723,1.759711,1.443916,3.071214,4.66771,1.71072,2.015449
27,0.820481668,27.919185,6.231876,5.510046,2.767735,2.057165,1.847766,1.41983,1.045359,4.259807,1.195329,1.584272
28,0.848402174,26.724703,4.307524,5.610494,3.112183,2.197024,1.895562,1.789485,1.453547,4.14385,0.917704,1.29733
29,0.875128174,26.822352,4.741934,5.399018,2.969122,2.061125,1.940438,1.636246,0.287032,4.545223,1.23335,2.008864
30,0.90195178,30.258161,5.14219,5.957591,2.727301,2.214665,1.977037,1.811804,1.006017,4.94689,2.184029,2.290637
31,0.932211572,28.540138,4.861312,5.629279,2.692585,2.35374,1.82628,1.540368,0.406045,4.34051,1.963014,2.927005
32,0.960753102,28.901144,4.777927,5.472917,2.960269,2.148425,1.773758,1.375301,1.978064,4.732591,1.274701,2.407191
33,0.989655923,30.300709,4.951866,5.833616,2.789422,2.067214,1.806816,1.655931,2.742285,4.547671,1.708455,2.197433
34,1.019958215,29.70527,5.935694,6.095984,2.906433,2.320908,1.93521,1.697608,0.519815,4.418943,1.276512,2.598163
35,1.049664928,27.631614,4.434159,6.200486,3.189299,2.077547,1.875493,1.618971,0.33991,4.615815,1.028492,2.251442
36,1.077297852,27.44974,3.249267,6.295755,2.42006,2.06076,2.228607,1.832442,0.430529,4.541806,1.08042,3.310094
37,1.104748755,27.224527,4.857737,5.738615,2.831153,2.061492,1.877557,1.598141,0.430192,4.73244,1.712346,1.384854
38,1.131974719,29.96843,4.853897,5.33295,2.828219,2.115025,2.012916,1.610175,2.009133,4.108951,1.660418,3.436746
39,1.161944776,28.591839,4.321274,5.475317,2.719711,2.072869,1.786522,1.467685,2.618352,4.383731,1.559193,2.187185
40,1.190538044,28.46005,4.53697,5.573853,3.800415,2.071908,1.921866,1.495105,0.50014,4.482865,1.628827,2.448101
41,1.218999342,26.088717,4.292309,5.693545,2.882176,2.228091,1.816844,1.499627,0.355597,3.967762,1.896201,1.456565
42,1.245089398,28.395867,5.736993,5.842939,2.89537,2.082744,1.785695,1.458648,0.441525,4.291039,1.970477,1.890437
43,1.27348664,25.599574,4.129829,5.783009,2.630538,2.071661,1.777171,1.303377,0.284507,4.239618,1.364733,2.015131
44,1.299087442,29.626495,4.69773,5.965338,2.647228,2.214341,1.790991,1.646096,3.150771,4.245081,1.51223,1.756689
45,1.3287155,27.272422,4.199132,5.961855,3.067333,2.064816,1.803224,1.566922,0.467736,4.560634,1.376202,2.204568
46,1.355989102,29.276292,4.405289,6.043769,2.704325,2.162619,1.814086,1.699395,1.395949,4.43493,1.961203,2.654727
47,1.385266704,25.621541,4.416787,5.595244,2.647596,2.105889,1.758927,1.517918,0.310308,4.201414,1.22016,1.847298
48,1.410889577,27.884389,4.644084,5.894639,3.123653,2.061668,1.989222,1.499567,0.730697,4.686609,1.833892,1.420358
49,1.438775378,28.225445,4.820003,5.706148,2.740312,2.074221,2.380429,1.845314,0.319703,4.093483,1.284197,2.961635
50,1.467002274,32.445602,6.399528,5.752269,2.725431,2.060268,1.868663,2.318907,3.00891,4.687901,1.034546,2.589179
51,1.499450719,27.648919,4.517387,5.831227,2.85524,2.060742,1.785396,1.37362,0.462154,4.781764,1.478101,2.503288
52,1.527101212,27.877271,4.049563,5.597363,2.850745,2.064443,1.800873,1.44401,1.416806,4.696136,1.641652,2.31568
53,1.554980083,24.409859,4.155534,5.503527,2.782444,2.094861,1.756791,1.254678,0.296233,4.141238,1.159394,1.265159
54,1.579391309,26.747351,4.084222,6.016505,2.774341,2.092294,1.764579,1.528886,0.738593,4.151923,1.707325,1.888683
55,1.606139912,30.988848,4.707959,5.521031,3.141168,2.265842,1.785276,1.568945,3.192753,4.581184,2.06462,2.16007
56,1.637130301,26.589813,4.264444,5.738402,2.82519,2.157826,1.81321,1.487517,0.703753,4.349765,1.17307,2.076636
57,1.663721541,26.112543,4.223918,5.600628,2.729816,2.119735,1.7383,1.462332,0.972192,4.258934,1.151394,1.855294
58,1.689835354,30.277233,6.242322,5.590967,2.731476,2.057646,1.75235,1.684237,1.041547,4.872238,2.297083,2.007367
59,1.720113788,27.016321,4.15543,5.526885,4.170348,2.07252,1.780328,1.351475,0.34255,4.082887,1.614805,1.919093
60,1.747131417,27.24539,4.435627,6.054771,2.741949,2.070795,1.845214,1.642435,1.719464,4.117607,1.30848,1.309048
61,1.774378081,30.283702,4.370501,6.033016,3.091618,2.078442,1.898244,1.552563,3.452723,4.804284,0.99686,2.005451
62,1.804663427,30.267159,4.935019,6.674609,2.961054,2.063204,2.021917,2.336557,0.794649,4.595382,1.714708,2.17006
63,1.834932075,30.354509,4.713179,6.581235,3.134625,2.063882,2.09752,1.666619,1.110356,4.651337,2.227475,2.108281
64,1.86528812,30.505182,4.575679,6.100583,3.090789,2.063943,1.986132,1.717108,1.122101,5.233673,2.134596,2.480578
65,1.895794621,29.586672,4.976781,6.403302,2.967292,2.364944,2.041064,1.71629,0.354786,4.383055,2.244996,2.134162
66,1.92538272,31.913102,6.524097,6.52122,2.861255,2.075415,2.005733,1.816187,1.808298,4.463903,1.543533,2.293461
67,1.957298204,28.756462,4.44723,5.917505,3.068914,2.438046,2.102242,1.580052,0.32993,4.460933,2.149191,2.262419
68,1.986055925,32.827857,5.351475,5.977998,3.003268,2.062335,2.134809,1.739548,2.776619,4.956821,2.401573,2.423411
69,2.018885099,29.030014,4.625433,6.022986,2.853667,2.160554,2.061409,1.553863,1.98182,4.338109,1.066057,2.366116
70,2.047916384,28.096919,4.665767,6.389081,2.890561,2.113531,1.915622,1.535433,0.524691,4.812626,1.024924,2.224683
71,2.076014783,32.681045,5.230154,6.522828,2.840112,2.061838,2.387457,2.13322,0.362592,5.515867,2.448409,3.178568
72,2.108697193,31.629429,4.758259,6.614547,3.230062,2.094268,1.966703,1.593089,0.841034,4.858585,1.981058,3.691824
73,2.140328302,29.404567,6.193017,6.199338,3.309913,2.06107,1.898403,1.550579,0.329616,4.625793,1.754809,1.482029
74,2.169734344,31.571565,4.772391,6.705107,3.107802,2.060162,1.84959,1.466578,2.788753,4.754803,1.358599,2.70778
75,2.201307257,32.811723,5.467109,6.413324,3.042244,2.478779,1.941962,1.397965,1.985076,5.110886,2.510967,2.463411
76,2.234120617,30.00088,4.499077,6.258135,3.998953,2.064573,1.96445,1.621098,0.587539,4.68847,1.896099,2.422486
77,2.264122872,30.446747,4.669238,6.662323,3.665229,2.078901,1.948282,1.595962,0.374716,4.823794,2.219184,2.409118
78,2.294570827,30.918857,5.070927,6.082483,3.049122,2.066795,1.967259,2.054491,0.713745,4.92833,1.938299,3.047406
79,2.325491117,27.976451,4.805993,6.111799,3.175397,2.146469,1.897889,1.752986,0.239411,4.457704,1.409324,1.979479
80,2.353469161,27.310513,4.456232,6.285295,3.010219,2.598772,1.92773,1.845862,0.16234,4.40041,1.206037,1.417616
81,2.38078105,33.114976,6.960317,6.187106,3.339178,2.112161,1.971724,1.893228,0.183515,5.120682,2.661508,2.685557
82,2.413897383,30.119829,5.575347,6.460647,2.938152,2.071581,1.93525,2.212101,0.18648,4.522554,1.864241,2.353476
83,2.444018418,28.533185,5.310719,6.207161,2.767092,2.11162,1.913778,1.468939,0.152955,4.714759,1.401944,2.484218
84,2.472552848,29.842067,5.103454,6.25777,3.167156,2.188433,2.039461,1.655601,0.479586,4.861818,1.948791,2.139997
85,2.502396261,28.675565,5.226751,5.99921,3.281087,2.06693,1.917194,1.495986,0.177339,4.299858,1.577559,2.633651
86,2.531073458,27.991453,4.737255,5.998964,3.085257,2.062879,1.893454,1.761871,0.158377,4.574717,1.764209,1.95447
87,2.559066106,28.593281,4.710439,6.083228,3.368436,2.190523,2.056643,1.750507,0.166612,4.465062,1.818474,1.983357
88,2.587660726,33.342009,8.375238,6.297109,3.048605,2.076885,2.038839,1.898288,0.165067,4.773204,2.332915,2.335859
89,2.621003971,30.871993,4.386291,6.82862,3.065116,2.476874,2.189699,1.953258,0.188378,4.810798,2.262115,2.710844
90,2.651877644,30.843964,5.444533,6.751038,3.149148,2.231815,2.115299,1.880018,0.397442,4.757824,1.805112,2.311735
91,2.682722961,30.240215,5.278225,6.143075,2.961382,2.219953,2.087759,1.597104,2.017522,4.697697,1.738338,1.49916
92,2.712964915,27.766384,4.248743,6.069962,2.912659,2.089449,2.094086,1.66393,0.604623,4.837352,1.118853,2.126727
93,2.74073398,32.762047,4.387585,6.076459,4.319244,2.069191,2.079492,1.832569,3.616228,4.682067,1.538293,2.160919
94,2.773497534,27.48774,3.982572,6.032287,2.796856,2.583685,2.003298,1.830547,0.55197,4.553108,1.297591,1.855826
95,2.800986931,31.542058,6.486141,5.96068,3.078186,2.077214,2.130998,1.905616,0.395955,4.903915,2.526835,2.076518
96,2.832530472,29.702383,4.166634,6.573343,2.845748,2.102812,2.138765,2.015042,0.453647,4.898607,1.728114,2.779671
97,2.862234197,32.01275,6.277084,6.401566,2.887786,2.125428,1.997565,1.823779,1.766799,4.54897,1.959423,2.22435
98,2.894248397,28.213007,3.97562,6.385178,2.844956,2.069319,2.065893,1.805889,0.648098,4.848756,1.314718,2.25458
99,2.922462744,30.787061,4.099726,6.783573,3.29506,2.071924,1.869385,1.351406,3.44684,4.413783,1.330733,2.124631
100,2.953256643,29.192278,4.216189,6.696338,3.116325,2.084619,2.087586,1.510857,0.689209,4.664333,1.631797,2.495025
101,2.982450363,30.684777,5.607903,6.128062,3.185311,2.063392,2.337576,1.829245,0.482921,5.11177,2.327146,1.611451
102,3.01313658,29.786874,4.071753,7.053002,3.112438,2.071568,2.22465,1.898287,0.518439,4.531543,1.178365,3.126829
103,3.042925115,35.285814,5.572903,6.815308,2.95867,2.284982,2.17588,1.812198,2.194884,6.050449,1.598378,3.822162
104,3.078212584,33.767554,5.013662,6.500919,3.265071,2.80869,2.414876,1.979801,0.684497,5.773705,1.775943,3.55039
105,3.111981597,43.443516,13.911761,8.561906,3.396627,2.086502,2.094984,1.824982,2.444743,4.283959,1.862674,2.975378
106,3.1554265,30.110365,5.219443,6.162841,3.140395,2.313293,2.068564,1.742384,0.507383,4.698733,2.057515,2.199814
107,3.185538238,34.288159,6.56269,7.289754,3.366963,2.119909,2.549352,1.761729,0.441607,4.897775,2.508642,2.789738
108,3.21982772,29.269884,4.780075,6.187982,2.828833,2.315151,1.963268,1.780561,0.429742,4.529836,1.884221,2.570215
109,3.249098929,33.960507,6.662612,6.135204,4.245166,2.149988,1.986516,1.841112,2.150199,4.622511,1.8184,2.348799
110,3.283060752,31.915039,4.890978,6.767335,3.149229,2.150235,2.265951,1.855184,0.402129,5.066716,2.424767,2.942515
111,3.314978053,29.915837,4.053228,6.127905,2.761546,2.064966,2.023631,1.451129,2.338402,5.04683,1.32834,2.71986
112,3.344895324,27.24885,4.228079,5.879953,3.119641,2.06457,2.056831,1.926091,0.469773,4.612192,1.480199,1.411521
113,3.372146369,29.9151,4.356118,6.189959,3.425301,2.062133,1.988347,1.889639,0.374,5.186331,2.441368,2.001904
114,3.402062992,29.708771,4.520969,6.02011,3.152382,2.068557,2.154906,2.200829,0.452866,4.768936,2.041881,2.327335
115,3.43177341,30.838133,3.884919,6.153,3.248365,2.116793,2.010937,1.494696,2.544254,5.123269,1.817897,2.444003
116,3.462613163,32.875064,5.55993,6.424678,3.314462,2.136077,2.279837,1.827281,0.604122,5.590101,2.69892,2.439656
117,3.495490242,31.52174,5.908053,5.958696,3.022716,2.078882,2.220699,1.665106,0.698094,4.428546,1.798938,3.74201
118,3.527013438,29.345407,4.219433,6.443526,3.189995,2.168784,2.069617,1.779517,1.615321,4.8087,1.038138,2.012376
119,3.556360212,30.710753,4.664141,6.961846,3.260724,2.112712,2.240567,2.000721,0.33865,4.985425,1.999402,2.146565
120,3.587072326,28.150695,4.14997,6.159888,2.916756,2.350099,2.084442,1.691171,0.435141,4.594874,1.94894,1.819414
121,3.615224637,32.142957,4.40478,6.274386,3.032586,2.154133,2.134038,1.773055,2.511604,5.628831,1.960485,2.269059
122,3.647369022,31.248596,5.187096,6.053816,3.065179,2.070037,2.081524,1.791271,0.613501,5.378955,2.582409,2.424808
123,3.678619009,27.387615,4.048136,5.978605,3.224992,2.086405,1.999373,1.431082,0.58962,4.644237,1.456151,1.929014
124,3.706008022,30.655813,6.258454,5.915196,3.345123,2.076732,2.026977,1.787355,1.55693,4.758755,1.546237,1.384054
125,3.73666548,27.979806,4.198538,6.04938,3.203812,2.063314,2.005743,1.748344,0.382035,4.5395,1.392793,2.396347
126,3.764646738,31.097398,4.631535,6.488749,4.535228,2.077355,2.015272,1.85244,0.474538,4.823628,1.916191,2.282462
127,3.795746339,32.006459,4.326184,6.609756,2.983223,2.070463,2.076573,1.606049,3.895741,4.545682,1.799847,2.092941
128,3.827754628,28.02912,4.425724,6.493219,2.881491,2.098501,2.084018,1.719839,0.417071,4.683681,1.188317,2.037259
129,3.85578502,29.203103,4.643036,6.133598,3.213693,2.215313,2.133842,1.81126,0.857171,4.426496,2.276262,1.492432
130,3.884989441,28.774272,4.191791,6.131898,3.042452,2.08676,2.03895,1.927324,0.721125,4.911608,1.626456,2.095908
131,3.913765316,27.280708,4.052238,6.269601,3.14809,2.062634,2.075811,1.405898,0.445531,4.705824,1.026816,2.088265
132,3.941047411,29.858082,5.759251,6.145702,3.181967,2.06541,2.101543,1.529927,0.537917,4.840193,1.392993,2.303179
133,3.970907046,31.469748,4.486264,5.978498,3.024491,2.145597,2.09703,1.562756,4.017356,4.860373,1.7168,1.580583
134,4.002378288,29.891424,4.097092,6.90464,3.120594,2.073381,2.199614,1.662321,0.420278,4.710841,2.002586,2.700077
135,4.032271089,29.683066,3.907586,6.107165,3.196156,2.163273,2.028327,1.832522,0.880342,5.047037,2.061554,2.459104
136,4.061956053,34.391478,4.880973,6.706379,3.938632,2.415067,2.710252,2.180115,0.927878,5.702165,2.733546,2.196471
137,4.096348909,31.577307,4.338685,6.972267,3.297805,2.074435,2.209342,2.0425,0.392169,4.54692,2.161526,3.541658
138,4.127927515,33.16928,7.130306,6.596651,3.454292,2.151752,2.20824,2.312243,0.483146,4.514487,2.07792,2.240243
139,4.161098048,36.900975,6.602916,6.60466,3.527404,2.06405,2.285599,1.684006,4.170799,5.276975,2.424695,2.259871
140,4.198000546,30.850428,4.212129,6.979247,3.276328,2.102604,2.159435,1.917036,1.150975,4.888524,1.396421,2.767729
141,4.228852418,31.439848,4.306164,7.10987,3.460738,2.22469,2.183379,1.835682,1.363741,5.101665,1.432237,2.421682
142,4.260294038,33.545889,4.74347,6.748692,3.495862,2.573561,2.215949,2.06416,1.673239,5.292877,2.18206,2.556019
143,4.293841353,37.055408,10.347352,6.237761,4.397158,2.718393,2.284435,1.562728,0.465661,4.80857,1.815416,2.417934
144,4.33089825,28.88102,4.346144,6.218737,3.142034,2.075666,2.09544,1.545921,0.705263,4.807913,2.072481,1.871421
145,4.359780744,34.686345,5.321063,6.614298,3.130785,2.096859,2.092129,1.841587,3.929314,4.762453,2.40792,2.489937
146,4.394468863,35.269149,6.880019,6.690881,3.493362,2.059347,2.06761,2.326614,1.067957,5.107902,2.174878,3.400579
147,4.429739421,30.187162,4.139678,6.449045,2.884917,2.355007,2.124782,1.660255,1.306313,5.158106,1.671458,2.437601
148,4.459927936,31.103345,4.669762,6.423918,3.163833,2.063743,2.132617,1.84154,1.591099,5.400872,1.513956,2.302005
149,4.491033002,28.726497,4.311101,6.913399,2.719948,2.224785,2.061619,1.706567,0.508234,4.641567,1.164034,2.475243
150,4.519760907,28.638018,4.35515,6.343379,2.977283,2.105296,2.159484,1.538776,0.794135,4.871046,1.402483,2.090986
151,4.548400424,31.770646,4.758468,6.776865,3.366464,2.086152,2.008014,1.637461,1.221158,5.330798,2.511688,2.073578
152,4.580172335,29.140979,4.739918,6.18488,3.515436,2.104434,2.112591,1.987882,0.425438,4.529054,1.539024,2.002322
153,4.609314621,33.645369,7.080614,6.400079,3.150197,2.065515,2.021981,1.686278,1.73171,4.974245,2.377676,2.157074
154,4.642961409,30.188345,4.814859,6.173966,3.170207,2.117717,2.12576,1.952549,0.408255,4.958097,1.920626,2.546309
155,4.67315099,28.424818,5.713706,6.18922,2.879109,2.186879,2.128378,1.626575,0.413324,4.799846,1.010747,1.477034
156,4.701577966,27.574641,4.184839,6.455831,3.091813,2.083416,2.191562,2.115223,0.453585,4.498421,1.060707,1.439244
157,4.729154098,29.26271,4.274525,6.442142,3.058902,2.072563,1.998238,1.695969,1.147082,4.824131,1.635647,2.113511
158,4.758418249,31.30346,5.098132,6.729656,3.224368,2.063218,2.162588,1.937467,0.418792,5.323988,2.184048,2.161203
159,4.789722947,31.581089,4.646278,6.596058,3.12249,2.09813,2.147062,1.497907,1.774132,5.017828,2.377425,2.303779
160,4.821305561,30.026273,4.294647,6.537282,4.021468,2.13168,2.114443,1.793026,0.433425,4.990202,1.553962,2.156138
161,4.851333099,34.19847,6.722963,6.70354,3.171407,2.076459,2.333194,2.0659,0.410754,5.668718,2.443762,2.601773
162,4.885533342,29.634979,4.223189,6.175908,3.532244,2.071608,2.209681,1.924525,0.489922,4.685993,1.200766,3.121143
163,4.915169665,29.523168,5.386212,6.366501,3.482254,2.181526,2.054996,1.574139,0.17832,5.004282,1.138994,2.155944
164,4.9446944,27.810549,3.116497,6.483923,3.190228,2.07686,2.129312,1.50877,0.170462,5.408061,1.165171,2.561265
165,4.972506833,29.599997,4.337985,6.306712,3.364536,2.164989,2.199946,1.727397,0.186642,5.216124,2.293947,1.801719
166,5.002108052,30.90996,4.948406,6.603089,3.469303,2.063393,2.128146,1.73222,0.226426,4.983979,1.896545,2.858453
167,5.033020453,30.265422,4.940508,6.528718,3.195823,2.06714,2.122403,1.675704,0.155264,5.567261,1.559183,2.453418
168,5.063287294,34.554393,6.94009,7.533106,2.95514,2.108273,2.264961,2.304625,0.369849,5.203393,2.113013,2.761943
169,5.097843182,30.033159,5.031245,6.57065,3.284111,2.179671,2.063663,1.627225,0.187308,4.897602,2.160583,2.031101
