name,src_file,src_line,self_total_ms,calls,self_mean_us,self_max_ms
"LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::pop",E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h,446,19002.943324,790,24054.358637974685,2697.449501
micro_sleep,E:\BoxxyViewer\indra\llcommon\lltimer.cpp,94,10475.327641,1817,5765.17756796918,1000.967359
LLCondition::wait,E:\BoxxyViewer\indra\llcommon\llmutex.cpp,341,5159.161368,1117,4618.765772605193,20.765458
w32t - GetMessage,E:\BoxxyViewer\indra\llwindow\llwindowwin32.cpp,5577,5154.228452,110,46856.62229090909,51.235151
LLCore::HttpService::processRequestQueue,E:\BoxxyViewer\indra\llcorehttp\_httpservice.cpp,340,346.646429,1726,200.8380237543453,33.599764
Exact OIT collect completed stats,E:\BoxxyViewer\indra\newview\fsexactoit.cpp,1241,306.344909,172,1781.0750523255815,4.493216
ra - push batch,E:\BoxxyViewer\indra\newview\lldrawpoolalpha.cpp,699,257.341585,470376,0.5470976091467252,0.208243
calcPixelArea - rigged,E:\BoxxyViewer\indra\newview\llface.cpp,2296,243.469881,372858,0.6529828540624045,0.149659
LLVOAvatar::idleUpdate,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,2941,173.465028,15538,11.163922512549878,0.211094
LLRenderPass::pushBatchRange,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,704,168.228012,1066002,0.15781209791351236,0.121083
Exact OIT overflow predicate submission,E:\BoxxyViewer\indra\newview\fsexactoit.cpp,1558,165.128235,172,960.0478779069767,1.495197
LLMotionController::updateMotionsByType,E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp,570,151.920809,8768,17.32673460310219,0.240469
draw_ui_backdrop,E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp,1693,122.791101,172,713.90175,1.410177
LLPipeline::stateSort,E:\BoxxyViewer\indra\newview\pipeline.cpp,3198,118.55669,1290,91.90441085271317,0.749165
LLKeyframeMotion::onUpdate,E:\BoxxyViewer\indra\llcharacter\llkeyframemotion.cpp,686,113.55437,23728,4.785669672960215,0.099852
LLView::findChildView,E:\BoxxyViewer\indra\llui\llview.cpp,1650,108.616446,1979224,0.054878298767597804,0.221903
materials draw loop,E:\BoxxyViewer\indra\newview\lldrawpoolmaterials.cpp,192,105.967391,538219,0.1968852660348297,0.125054
LLPipeline::postSort,E:\BoxxyViewer\indra\newview\pipeline.cpp,3648,92.719144,1290,71.87530542635659,0.43533
LLGLSLShader::uniform1f,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1849,83.273033,2944648,0.028279452416723493,0.138289
LLRenderPass::uploadMatrixPalette,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,809,79.684882,1585831,0.050248028951382584,0.133426
LLSpatialPartition::cull,E:\BoxxyViewer\indra\newview\llspatialpartition.cpp,1438,74.423314,7602,9.789965009208103,0.30644
LLFace::calcPixelArea,E:\BoxxyViewer\indra\newview\llface.cpp,2288,71.784294,460064,0.1560311043680879,0.042151
LLPipeline::generateSSSDepth,E:\BoxxyViewer\indra\newview\pipeline.cpp,10482,69.083045,173,399.32395953757225,7.466733
LLGLSLShader::getUniformLocation,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1720,66.958163,5886589,0.011374696449845572,0.101618
LLSpatialBridge::setVisible,E:\BoxxyViewer\indra\newview\lldrawable.cpp,1507,63.075728,140240,0.44976988020536224,0.128941
LLOcclusionCullingGroup::checkOcclusion,E:\BoxxyViewer\indra\newview\llvieweroctree.cpp,1111,58.237418,472696,0.1232026884086178,0.103543
LLRender::syncMatrices,E:\BoxxyViewer\indra\llrender\llrender.cpp,909,54.744812,2840402,0.01927361408702008,0.101343
LLGLSLShader::uniformMatrix3x4fv,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1678,49.667663,310387,0.1600185027079098,0.060385
LLDrawable::updateDistance,E:\BoxxyViewer\indra\newview\lldrawable.cpp,873,49.272336,109315,0.4507371906874628,0.163719
LLSkinningUtil::initSkinningMatrixPalette,E:\BoxxyViewer\indra\newview\llskinningutil.cpp,134,48.978545,67539,0.725189075941308,0.060024
LLViewerOctreeGroup::rebound,E:\BoxxyViewer\indra\newview\llvieweroctree.cpp,548,47.733003,210114,0.22717668979696737,0.072841
LLRenderPass::pushUntexturedBatch,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,759,47.54705,426530,0.11147410498675357,0.114116
LLGLSLShader::uniform1i,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1778,47.502619,1898771,0.02501756083277025,0.108111
LLImageJ2C::decodeChannels,E:\BoxxyViewer\indra\llimage\llimagej2c.cpp,158,46.061306,18,2558.9614444444446,5.992587
LLGLSLShader::uniform1f,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1327,44.323423,3244902,0.01365940265684449,0.129584
LLViewerTextureList::updateImageDecodePriority,E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp,929,42.997372,43297,0.9930797052913597,0.148753
LL::WorkQueueBase::callWork,E:\BoxxyViewer\indra\llcommon\workqueue.cpp,209,42.140302,878,47.99578815489749,14.946885
render_ui_2d,E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp,1807,39.024905,172,226.88898255813953,1.199924
LLVOAvatar::getOverallAppearance,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,12460,38.720724,224112,0.17277398800599703,0.035093
LLViewerObject::getAvatar,E:\BoxxyViewer\indra\newview\llviewerobject.cpp,7688,37.543255,755438,0.04969733452646015,0.063614
LLViewerWindow::updateUI,E:\BoxxyViewer\indra\newview\llviewerwindow.cpp,3538,37.530223,172,218.19897093023255,0.433044
LLMotionController::updateMotions,E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp,837,37.347512,4384,8.519049270072992,0.132831
LLViewerObjectList::update,E:\BoxxyViewer\indra\newview\llviewerobjectlist.cpp,834,34.529937,172,200.7554476744186,0.311144
LLPipeline::calcNearbyLights,E:\BoxxyViewer\indra\newview\pipeline.cpp,5637,34.159283,1039,32.87707699711261,0.128639
LLParticlePartition::getGeometry,E:\BoxxyViewer\indra\newview\llvopartgroup.cpp,786,34.158639,3355,10.181412518628912,0.218968
LLRenderPass::pushRiggedMaskBatches,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,625,33.908804,7561,4.484698320327999,0.149066
LLFontGL::render,E:\BoxxyViewer\indra\llrender\llfontgl.cpp,155,32.56331,35020,0.9298489434608794,0.216676
LLPipeline::bindDeferredShader,E:\BoxxyViewer\indra\newview\pipeline.cpp,8341,32.493618,22650,1.434596821192053,0.062756
LLGLSLShader::enableTexture,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1234,32.458521,2172699,0.014939262640614277,0.15069
LLSpatialPartition::calcDistance,E:\BoxxyViewer\indra\newview\llspatialpartition.cpp,640,31.406787,222623,0.1410761107342907,0.050025
LLGLSLShader::bindTexture,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1138,30.500102,1442553,0.02114314136118396,0.094922
httppt - curl_multi_perform,E:\BoxxyViewer\indra\llcorehttp\_httplibcurl.cpp,173,30.054899,2006,14.982501994017946,6.736467
FTM_SIMULATE_PARTICLES,E:\BoxxyViewer\indra\newview\llviewerpartsim.cpp,672,29.10864,173,168.25803468208093,0.297651
LLPipeline::updateMovedList,E:\BoxxyViewer\indra\newview\pipeline.cpp,2152,28.758104,346,83.11590751445087,0.213307
renderAlpha - group,E:\BoxxyViewer\indra\newview\lldrawpoolalpha.cpp,643,28.347418,178869,0.1584814473161923,0.112108
LLVOAvatar::idleUpdateNameTag,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,3647,27.215287,15539,1.7514181736276466,0.058091
LLSpatialGroup::updateInGroup,E:\BoxxyViewer\indra\newview\llspatialpartition.cpp,226,26.017319,116822,0.22270907020937838,0.102559
LLGLState::LLGLState,E:\BoxxyViewer\indra\llrender\llgl.cpp,2520,25.667443,798738,0.032134996707305775,0.074231
LLScrollContainer::draw,E:\BoxxyViewer\indra\llui\llscrollcontainer.cpp,488,25.583001,860,29.74767558139535,0.194665
LLVOVolume::updateTextures,E:\BoxxyViewer\indra\newview\llvovolume.cpp,795,24.37382,32942,0.739901038188331,0.087385
LLVOVolume::getBinRadius,E:\BoxxyViewer\indra\newview\llvovolume.cpp,4828,22.853331,140097,0.16312505621105375,0.070454
LLPhysicsMotionController::onUpdate,E:\BoxxyViewer\indra\newview\llphysicsmotion.cpp,456,22.669688,2836,7.993543018335684,0.08734
LLViewerOctreeGroup::unbound,E:\BoxxyViewer\indra\newview\llvieweroctree.cpp,519,22.44184,124097,0.18084111622359927,0.03917
LLMotionController::updateIdleActiveMotions,E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp,555,22.108496,11154,1.9821136811906042,0.204718
LLVOPartGroup::updateGeometry,E:\BoxxyViewer\indra\newview\llvopartgroup.cpp,218,21.516402,3684,5.8405,0.071535
LLVOAvatar::idleUpdateMisc,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,3268,21.389949,15539,1.3765331745929594,0.062322
LLShaderUniforms::apply,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,2042,21.2827,104236,0.20417801911048006,0.080683
glBufferSubData,E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp,1388,20.634731,64760,0.31863389437924644,0.307884
LLTextBase::draw,E:\BoxxyViewer\indra\llui\lltextbase.cpp,1522,20.131004,6708,3.0010441264162195,0.086862
LLVOAvatar::renderSkinned,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,5540,19.32722,27992,0.6904551300371535,0.061772
LLMotionController::updateIdleMotion,E:\BoxxyViewer\indra\llcharacter\llmotioncontroller.cpp,516,19.094224,205704,0.09282378563372613,0.060491
LLGLSLShader::bind,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1060,18.865433,254578,0.07410472625285768,0.044818
LLRender::flush,E:\BoxxyViewer\indra\llrender\llrender.cpp,1502,18.575056,63405,0.2929588518255658,0.123815
LLPipeline::renderGeomDeferred,E:\BoxxyViewer\indra\newview\pipeline.cpp,4076,18.0721,606,29.821947194719474,0.234647
LLVOAvatar::updateSkinInfoMatrixPalette,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,10589,17.950908,67539,0.26578581264158485,0.13402
LLFace::calcImportanceToCamera,E:\BoxxyViewer\indra\newview\llface.cpp,2488,17.29381,448749,0.03853782403971931,0.033064
LLParticlePartition::rebuildGeom,E:\BoxxyViewer\indra\newview\llvopartgroup.cpp,665,17.138135,3688,4.646999728850325,0.103232
LLVOVolume::updateLOD,E:\BoxxyViewer\indra\newview\llvovolume.cpp,1758,16.411932,97725,0.1679399539524175,0.00702
renderDeferredLighting - local lights,E:\BoxxyViewer\indra\newview\pipeline.cpp,8827,16.072513,345,46.58699420289855,0.161395
LLDrawable::updateMoveDamped,E:\BoxxyViewer\indra\newview\lldrawable.cpp,848,15.497729,77575,0.19977736384144376,0.042216
LLVOVolume::updateTextureVirtualSize,E:\BoxxyViewer\indra\newview\llvovolume.cpp,837,15.316009,37830,0.40486410256410255,0.128008
FTM_LOD_UPDATE,E:\BoxxyViewer\indra\newview\llappviewer.cpp,5611,15.047933,173,86.98227167630057,0.378927
LLGLSLShader::uniform4fv,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1580,13.977213,564159,0.02477530802486533,0.042231
override_bbox,E:\BoxxyViewer\indra\newview\llvoavatar.cpp,3260,13.242964,41192,0.32149359098854147,0.087884
LLHUDNameTag::updateAll,E:\BoxxyViewer\indra\newview\llhudnametag.cpp,744,12.980139,173,75.02970520231213,0.102376
LLVolumeGeometryManager::genDrawInfo,E:\BoxxyViewer\indra\newview\llvovolume.cpp,6574,12.560293,12464,1.007725689987163,0.15851
LLFace::getTextureVirtualSize,E:\BoxxyViewer\indra\newview\llface.cpp,2227,12.33956,104434,0.11815653905816113,0.007698
pushGLTFBatch,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,920,12.023012,35134,0.3422044742984004,0.012782
LLPipeline::stateSort,E:\BoxxyViewer\indra\newview\pipeline.cpp,3348,11.532407,83430,0.13822853889488196,0.025407
LLDrawPoolAvatar::renderShadow,E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp,352,10.969161,276480,0.03967433810763889,0.200858
pushRiggedGLTFBatch,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,1001,10.895785,36378,0.2995157787673869,0.010727
LLDrawPoolAvatar::renderAvatars,E:\BoxxyViewer\indra\newview\lldrawpoolavatar.cpp,668,10.578806,164070,0.06447739379533127,0.023694
vb cache miss,E:\BoxxyViewer\indra\llrender\llrender.cpp,1615,10.556101,15372,0.68670966692688,0.091488
LLGLSLShader::uniformMatrix4fv,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1699,10.418087,577358,0.018044414384142938,0.107574
LLGLSLShader::uniform3fv,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1553,10.26672,649544,0.015806042392817115,0.012592
LLDrawPoolAlpha::renderPostDeferred,E:\BoxxyViewer\indra\newview\lldrawpoolalpha.cpp,147,10.238976,1499,6.83053769179453,0.051673
HUD,E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp,1504,10.22042,172,59.42104651162791,0.176663
LLViewerTextureList::updateImagesFetchTextures,E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp,1251,9.871714,173,57.06193063583815,0.624498
LLRenderPass::uploadMatrixPalette,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,846,9.667615,330512,0.029250420559616592,0.172182
LLGLSLShader::uniform4f,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1417,9.44171,471481,0.020025642602777206,0.036967
LLGLState::~LLGLState,E:\BoxxyViewer\indra\llrender\llgl.cpp,2556,9.063063,798734,0.011346785037321562,0.048483
LLDrawable::updateXform,E:\BoxxyViewer\indra\newview\lldrawable.cpp,612,8.999099,77869,0.11556715766222758,0.062445
LLViewerTextureList::findImage,E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp,684,8.855488,58824,0.15054209166326668,0.107852
vb cache hash,E:\BoxxyViewer\indra\llrender\llrender.cpp,1577,8.824444,61924,0.14250442477876107,0.186167
FTM_PROCESS_MESSAGES,E:\BoxxyViewer\indra\llmessage\lltemplatemessagereader.cpp,539,8.740065,585,14.94028205128205,0.195225
LLTexUnit::bind,E:\BoxxyViewer\indra\llrender\llrender.cpp,217,8.682261,437942,0.019825138945339795,0.093171
LLDefaultVBOPool::allocate,E:\BoxxyViewer\indra\llrender\llvertexbuffer.cpp,437,8.524622,22443,0.3798343358731008,0.08716
LLVOAvatarSelf::writeWearablesToAvatar,E:\BoxxyViewer\indra\newview\llvoavatarself.cpp,813,8.504528,172,49.444930232558136,0.096556
vb cache hit,E:\BoxxyViewer\indra\llrender\llrender.cpp,1608,8.487675,46552,0.18232675287850145,0.005575
LLPipeline::renderGeomShadow,E:\BoxxyViewer\indra\newview\pipeline.cpp,4359,8.368747,1024,8.1726044921875,0.073623
idle network,E:\BoxxyViewer\indra\newview\llappviewer.cpp,6054,8.345799,172,48.52208720930233,0.184351
rebuildGeom - face list,E:\BoxxyViewer\indra\newview\llvovolume.cpp,5975,8.220005,779,10.551996148908858,0.384448
vtluift - copy,E:\BoxxyViewer\indra\newview\llviewertexturelist.cpp,1280,8.183448,173,47.30316763005781,0.069876
UI 2D,E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp,1540,7.998094,172,46.50054651162791,0.091221
LLDrawable::updateSpatialExtents,E:\BoxxyViewer\indra\newview\lldrawable.cpp,1062,7.877807,61772,0.12753038593537525,0.118421
LLDrawable::movePartition,E:\BoxxyViewer\indra\newview\lldrawable.cpp,775,7.874489,61607,0.12781808885353937,0.013867
LLUIImage::draw,E:\BoxxyViewer\indra\llrender\lluiimage.inl,44,7.823371,23392,0.3344464346785226,0.051427
LLFloater::draw,E:\BoxxyViewer\indra\llui\llfloater.cpp,2031,7.806979,516,15.129804263565891,0.065359
LLGLSLShader::getUniformLocation,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1746,7.672278,801662,0.009570464859254897,0.113311
LLRenderPass::pushUntexturedRiggedBatches,E:\BoxxyViewer\indra\newview\lldrawpool.cpp,541,7.555724,13312,0.5675874399038462,0.070417
FTM_HUD_UPDATE,E:\BoxxyViewer\indra\newview\llhudobject.cpp,264,7.480818,173,43.2417225433526,0.183765
LLGLSLShader::uniform4fv,E:\BoxxyViewer\indra\llrender\llglslshader.cpp,1598,7.471064,349298,0.02138879695847099,0.143246
