name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
"getGeometryVolume - texgen default"|E:\BoxxyViewer\indra\newview\llface.cpp|1828|3797435|0.000141|1221|3110|237|110236|7750.390318
LLSpatialPartition::cull|E:\BoxxyViewer\indra\newview\llspatialpartition.cpp|1438|157785393|0.005873|7602|20755|15|518478|65122.605041
"genDrawInfo - allocate"|E:\BoxxyViewer\indra\newview\llvovolume.cpp|6774|4077005|0.000152|2661|1532|257|116666|4018.432135
LLVOAvatar::updateGeometry|E:\BoxxyViewer\indra\newview\llvoavatar.cpp|7846|30065|0.000001|173|173|64|481|64.712872
LLReflectionMap::autoAdjustOrigin|E:\BoxxyViewer\indra\newview\llreflectionmap.cpp|79|320848|0.000012|17042|18|5|7028|64.352348
"Swap"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|1560|7018334|0.000261|172|40804|21953|464378|43719.582044
"gi - function queue"|E:\BoxxyViewer\indra\llwindow\llwindowwin32.cpp|2352|1358313|0.000051|172|7897|285|116672|19220.348380
LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::push_|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|309|1942813|0.000072|974|1994|28|31489|2190.660865
"df suspend"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1429|2439182|0.000091|172|14181|2323|129018|26754.717171
"Update Dynamic Textures"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|706|1851591|0.000069|173|10702|8267|58223|4826.954097
"lllog"|E:\BoxxyViewer\indra\newview\llvovolume.cpp|433|85153|0.000003|1097|77|6|430|67.278170
"df Display"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1500|4008950910|0.149209|172|23307854|18978745|37049885|2135565.598424
LLTextureCache::readComplete|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|1971|100389|0.000004|19|5283|1093|17938|4788.781856
LLDrawPoolBump::renderFullbrightShiny|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|355|1012461|0.000038|1850|547|76|11399|1224.327343
LLTextBase::draw|E:\BoxxyViewer\indra\llui\lltextbase.cpp|1522|62092076|0.002311|6708|9256|797|336189|34591.817198
"getGeometryVolume - color"|E:\BoxxyViewer\indra\newview\llface.cpp|2109|1198483|0.000045|4718|254|33|50274|1245.937584
LLGLSLShader::uniform1f|E:\BoxxyViewer\indra\llrender\llglslshader.cpp|1849|115939803|0.004315|2944648|39|22|138376|165.117390
"df LLTrace"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1367|6014695|0.000224|172|34969|30819|95597|6337.268096
LLThreadSafeQueue<struct tagMSG,class std::queue<struct tagMSG,class std::deque<struct tagMSG,class std::allocator<struct tagMSG> > > >::tryPop|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|477|2522641|0.000094|282|8945|134|113263|21813.283344
LLPipeline::rebuildPools|E:\BoxxyViewer\indra\newview\pipeline.cpp|5129|1849058|0.000069|173|10688|8142|21910|2167.681679
"UI 2D"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|1540|480759684|0.017893|172|2795114|2113127|4220805|350765.431703
LLTrace::AccumulatorBufferGroup::sync|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.cpp|133|315432|0.000012|860|366|129|1632|299.064078
LLTrace::PeriodicRecording::getPeriodMaxPerSec|E:\BoxxyViewer\indra\llcommon\lltracerecording.h|482|115331|0.000004|344|335|93|1854|254.433006
LLCore::HttpOpRequest::writeCallback|E:\BoxxyViewer\indra\llcorehttp\_httpoprequest.cpp|795|1537966|0.000057|140|10985|1173|48021|11700.380725
LLImageGL::setImage|E:\BoxxyViewer\indra\llrender\llimagegl.cpp|745|178817|0.000007|15|11921|4444|18195|3743.129458
LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::tryLock|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|278|2175419|0.000081|1922|1131|92|122125|4741.078587
"deferred pool render"|E:\BoxxyViewer\indra\newview\pipeline.cpp|4155|398598636|0.014835|5082|78433|183|1523278|206507.448406
LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::tryPush|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|360|116267|0.000004|16|7266|166|66240|16377.212215
LLError::GenericRecorder<void (__cdecl*)(enum LLError::ELevel,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &)>::recordMessage|E:\BoxxyViewer\indra\llcommon\llerrorcontrol.h|191|3984|0.000000|44|90|11|438|84.546671
LLMeshCostData::init|E:\BoxxyViewer\indra\newview\llmeshrepository.cpp|5479|464909|0.000017|6441|72|12|901|82.585932
LLSD::operator []|E:\BoxxyViewer\indra\llcommon\llsd.cpp|1138|1237059|0.000046|4906|252|31|3229|266.394200
LLTrace::AccumulatorBufferGroup::makeCurrent|E:\BoxxyViewer\indra\llcommon\lltraceaccumulators.cpp|69|111385|0.000004|344|323|101|1125|114.505287
LLGLTexture::setSubImage|E:\BoxxyViewer\indra\llrender\llgltexture.cpp|252|19198|0.000001|1|19198|19198|19198|0.000000
LLReflectionMapManager::updateNeighbors|E:\BoxxyViewer\indra\newview\llreflectionmapmanager.cpp|1056|61423|0.000002|29|2118|27|5267|1192.131300
