name|src_file|src_line|total_ns|total_perc|counts|mean_ns|min_ns|max_ns|std_ns
"getGeometryVolume - texgen default"|E:\BoxxyViewer\indra\newview\llface.cpp|1828|279789|0.000010|1221|229|54|2878|8268.984512
LLSpatialPartition::cull|E:\BoxxyViewer\indra\newview\llspatialpartition.cpp|1438|74423314|0.002770|7602|9789|15|306440|66039.682304
"genDrawInfo - allocate"|E:\BoxxyViewer\indra\newview\llvovolume.cpp|6774|496233|0.000018|2661|186|64|41603|4237.989047
LLVOAvatar::updateGeometry|E:\BoxxyViewer\indra\newview\llvoavatar.cpp|7846|30065|0.000001|173|173|64|481|64.712872
LLReflectionMap::autoAdjustOrigin|E:\BoxxyViewer\indra\newview\llreflectionmap.cpp|79|320848|0.000012|17042|18|5|7028|64.352348
"Swap"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|1560|37366|0.000001|172|217|153|809|59735.764994
"gi - function queue"|E:\BoxxyViewer\indra\llwindow\llwindowwin32.cpp|2352|146453|0.000005|172|851|55|2429|20478.296459
LLThreadSafeQueue<class std::function<void __cdecl(void)>,class std::queue<class std::function<void __cdecl(void)>,class std::deque<class std::function<void __cdecl(void)>,class std::allocator<class std::function<void __cdecl(void)> > > > >::push_|E:\BoxxyViewer\indra\llcommon\llthreadsafequeue.h|309|1942813|0.000072|974|1994|28|31489|2190.660865
"df suspend"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1429|2344605|0.000087|172|13631|2264|124804|26760.408845
"Update Dynamic Textures"|E:\BoxxyViewer\indra\newview\llviewerdisplay.cpp|706|32517|0.000001|173|187|107|888|11598.502520
"lllog"|E:\BoxxyViewer\indra\newview\llvovolume.cpp|433|85153|0.000003|1097|77|6|430|67.278170
"df Display"|E:\BoxxyViewer\indra\newview\llappviewer.cpp|1500|143519|0.000005|172|834|572|1691|23472420.760653
LLTextureCache::readComplete|E:\BoxxyViewer\indra\newview\lltexturecache.cpp|1971|43408|0.000002|19|2284|377|8166|5694.743019
LLDrawPoolBump::renderFullbrightShiny|E:\BoxxyViewer\indra\newview\lldrawpoolbump.cpp|355|121297|0.000005|1850|65|33|11274|1315.938262
LLTextBase::draw|E:\BoxxyViewer\indra\llui\lltextbase.cpp|1522|20131004|0.000749|6708|3001|271|86862|35152.950806
